YEAR,Region,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1838,Connecticut River,2.45,1.67,1.69,2.02,3.63,4.9,2.27,3.95,6.38,4.12,5.77,0.96
1839,Connecticut River,1.66,1.75,1.69,4.14,3.49,3.3,9.56,2.51,2.82,1.78,3.04,7.09
1840,Connecticut River,3.15,2.03,3.18,3.98,1.91,4.6,3.34,6.82,5.2,5.04,4.61,3.15
1841,Connecticut River,5.8,1.5,2.85,4.52,3.47,1.65,2.55,3.18,3.5,3.73,2.8,6.08
1842,Connecticut River,1.02,3.78,2.39,2.92,2.4,3.18,1.95,7.42,3.23,2.84,3.73,3.19
1843,Connecticut River,1.99,3.49,5.73,4.82,2.09,5.18,2.53,9.38,1.57,9.45,3.07,2.28
1844,Connecticut River,3.44,2.18,4.12,0.57,5.59,3,3.81,4.93,1.84,6.49,2.12,2.49
1845,Connecticut River,4.97,3.37,3.56,1.7,2.42,2.57,3.31,2.79,2.58,4.66,3.9,3.91
1846,Connecticut River,2.74,2.55,4.35,1.54,4.33,3.1,3.25,2.44,0.47,2.09,4.96,3.1
1847,Connecticut River,4.86,4.88,3.57,1.41,1.91,4.44,4.48,4.06,3.63,3.99,4.17,6.41
1848,Connecticut River,2.92,2.6,3.03,1.55,6.18,2.58,4.72,1.53,2.49,3.15,3.09,5.54
1849,Connecticut River,0.99,0.99,4.21,2.24,3.61,1.53,2.25,7.86,1.4,6.36,3.65,3.36
1850,Connecticut River,4.75,3.56,1.86,3.93,8.72,2.88,6.81,6.5,4.93,3.65,2.63,5.37
1851,Connecticut River,1.66,5.08,1.28,4.43,4.07,3.69,4.31,3.03,2.05,5.43,5.3,3.17
1852,Connecticut River,2.42,3.35,3.26,4.71,2.3,2.54,3.38,5.19,2.48,1.76,6.43,4.88
1852,Northeast,5.8,1.76,4.42,9.6,2.6,2,2.16,8.27,2.04,3.4,2.76,3.12
1853,Connecticut River,2.11,6.69,2.39,3.79,5.4,2.64,3.59,7.13,5.66,3.75,6.24,1.84
1853,Northeast,3.68,6.56,2.92,3.8,6.32,0.56,2.84,7.2,5.44,4.56,5.26,6.59
1854,Connecticut River,2.01,4.53,3.11,8.33,3.19,1.75,3.53,0.99,5.46,2.31,7.48,2.39
1854,Northeast,2.45,5.16,4.16,5.6,3.92,2.08,2.32,0.28,3.68,3.37,7.79,2.34
1855,Connecticut River,5.06,2.7,1.08,3.85,1.49,5.19,6.1,2.55,0.55,10.08,4.12,5.41
1855,Northeast,6.455,4.505,1.605,3.82,0.94,2.91,4.31,1.595,0.615,5.025,4.525,5.375
1856,Connecticut River,2.48,0.79,1.12,2.51,5.31,1.92,1.96,12.13,3.47,1.4,2.85,4.19
1856,Northeast,2.36667,1.20333,1.02,3.84667,6.64667,2.22667,2.00667,13.98,4.81333,3.05333,2.76333,4.56333
1857,Connecticut River,3.55,2.41,2.12,7.68,6.82,2.66,4.98,3.14,3.04,3.88,2.07,5.31
1857,Northeast,2.965,2.375,2.235,9.5,5.455,3.505,7.1,5.975,3.64,6.415,2.735,5.67
1858,Connecticut River,3.52,1.6,0.8,3.2,2.98,4.62,6.73,4.82,4.14,3.86,2.16,3.16
1858,Northeast,2.595,2.55,2.695,4.3,2.88,7.785,3.35,4.92,4.375,2.61,2.085,3.05
1859,Connecticut River,4.89,3.54,6.27,2.96,4.08,6.16,2.61,6.65,4.47,1.85,2.96,4.85
1859,Northeast,5.315,3.355,8.805,2.135,3.445,4.67,1.095,5.56,4.25,1.255,3.315,5.51
1860,Connecticut River,1.21,2.93,1.58,1.28,4.57,3.57,6.13,2.68,6.12,2.18,3.52,3.84
1860,Northeast,1.02,3.12,2.06,1.67,1.915,8,6.685,4.595,9.94,2.11,4.84,5.1
1861,Connecticut River,4.34,3.28,3.76,5.65,4.45,2.69,5.23,4.1,2.75,4.53,3.93,2.17
1861,Northeast,3.83,3.17,3.66,5.415,3.59,2.29,2.355,6.28,2.4,3.495,4.91,2.8
1862,Connecticut River,5.25,2.84,4.3,2.28,2.33,11.69,5.12,2.98,2.12,3.28,4.76,1.91
1862,Northeast,6.92,1.88,4.69,2.035,2.305,6.175,5.87,1.99,2.4,4.175,6.385,2.325
1863,Connecticut River,5.05,4.43,5.6,2.33,3.59,4.09,8.64,6.11,2.16,4.04,5.28,4.87
1863,Northeast,4.065,3.79,4.265,9.045,2.31,1.795,12.175,6.135,3.145,4.27,7.425,5.135
1864,Connecticut River,2.2,1.12,2.58,2.57,2.54,1.38,0.96,4.4,2.92,2.94,6.2,4.63
1864,Northeast,3.005,0.98,8.43,3.805,2.825,0.825,1.44,3.55,2.21,5.17,4.775,4.61
1865,Connecticut River,3.48,2.88,5.98,2.9,7.89,2.94,3.72,1.86,0.37,4.98,2.45,3.54
1865,Northeast,4.49,4.09,4.885,2.21,7.285,1.385,2.485,3.075,1.11,6.075,3.915,3.14
1866,Connecticut River,1.36,4.62,3.16,2.03,4.48,5.66,4.02,3.96,4.71,3.38,3.86,3.57
1866,Northeast,1.68,5.25,3.76,2.395,5.47,3.73,9.455,3.83,6.085,2.535,3.615,4.03
1867,Connecticut River,1.32,3.65,3.12,3.79,4.61,5.67,4,9.16,1.11,3.85,4.31,1.51
1867,Northeast,3.71,4.625,5.37,2.54,5.1,3.105,4.99,11.01,0.785,5.32,2.675,1.825
1868,Connecticut River,3.52,1.03,3.25,4.27,7.86,2.44,3.28,5.67,10.63,1.37,4.8,1.47
1868,Northeast,3.605,1.19,2.93,5.59,8.575,3.7,1.51,5.11,9.66,1.08,5.735,0.95
1869,Connecticut River,3.47,4.14,5.46,1.53,5.65,5.99,2.98,1.04,4.32,11.36,2.59,4.96
1869,Northeast,3.47,6.545,6.58,2.025,6.505,4.06,1.96,1.96,6.66,8.19,2.97,5.725
1870,Connecticut River,5.87,5.25,2.71,3.7,1.72,2.73,2.53,2.83,1.75,4.49,3.28,1.84
1870,Northeast,7.47,4.77,5.915,7.645,2.595,4.245,2.54,2.715,1.08,6.52,3.645,3.16
1871,Connecticut River,1.96,2.91,3.99,3.09,3.82,6.58,3.52,6.45,1.3,6.09,3.51,2.67
1871,Northeast,1.38333,2.55,4.45,3.14333,4.64667,5.39333,2.93333,4.03,1.29667,5.20667,6.78,3.05667
1872,Central,1.8,1.28,3.51,1.52,2.88,4.1,5.4,8.08,5.48,3.32,4.05,3.28
1872,Connecticut River,1.51,1.89,2.87,2.2,3.11,3.25,7.07,5.28,6.2,3.64,4.48,2.69
1872,Northeast,2.02,2.03,3.62667,1.6,3.3,4.94333,4.21,9.87,5.32,3.835,4.06,3.4425
1873,Central,1.66,4.62,2.04,3.18,4.2,0.2,2.96,5.96,2.98,6.22,3.88,4.5
1873,Connecticut River,5.01,2.17,3.13,1.74,3.91,1.59,2.93,3.47,4.77,6.36,3.51,3.31
1873,Northeast,4.98,2.86,3.7725,2.8575,3.7675,0.5125,3.5675,5.3775,3.4475,5.06,5.6575,4.2575
1874,Central,4.46,4.08,1.42,6.7,2.96,3.48,4.24,5.36,1.68,0.68,2.2,2.39
1874,Connecticut River,5.46,2.19,1.35,6.03,5.22,5.06,11.58,2.69,1.82,1.85,3.54,1.17
1874,Northeast,3.28167,2.805,1.495,7.05667,3.66667,3.35,4.12,6.58167,1.69,1.12833,2.23167,1.98333
1874,Southeast,3.38895,3.14181,3.65367,3.58774,3.49,2.08,2.85,9.07,1.84,1.54,1.95,2.31
1875,Central,2.46,4.58,4.5,4.08,2.8,4.66,2.64,4,2.26,4.74,4.98,0.88
1875,Connecticut River,2.9,3.62,4.2,3.33,2.19,3.44,6.42,6.815,3.91,3.77,4,1.16
1875,Northeast,3.18714,3.01571,4.77286,3.57,3.58429,6.20857,3.18429,4.33857,3.43857,5.12429,5.08571,0.95571
1875,Southeast,7.64,4.21,3.75,5.4,2.9,2.48,3.37,4.63,1.69,2.62,2.96,1.67
1876,Central,1.56,3.92,9.64,4.92,2.56,1.9,5.38,0.68,4.38,2.2,5.44,3.56
1876,Connecticut River,2.17,5.25,6.65,2.815,3.3,3,4.86,0.755,3.37,0.825,2.62,1.78
1876,Northeast,1.84857,4.31,7.51,3.73857,3.31286,1.6,7.38857,0.88,4.44286,1.98143,7.39857,3.12286
1876,Southeast,5.06,4.68,3.39,3.88,1.91,1.82,5.57,2.44,4.59,0.44,7,2.87
1877,Central,3.48,1.26,9.88,2.98,3.58,3.28,1.4,8.64,0.36,8.68,7.08,1.12
1877,Connecticut River,2.52,0.36,6.4,2.445,1.425,3.83,6.755,2.505,0.725,7.365,4.805,1.15
1877,Northeast,2.99714,0.74143,7.58714,3.86,2.96286,2.36,2.74429,4.80286,0.39571,7.79571,7.57143,1.08143
1877,Southeast,4.86,2.68,3.06,1.56,2.5,2.61,2.8,5.79,0.82,8.38,6.88,3.84
1878,Central,6.53,4.34,4.6,5.58,0.96,3.85,3.34,4.96,1.18,5.6,6.62,6.1
1878,Connecticut River,3.455,3.13,3.105,5.61,1.98,5.97,2.435,4.72,2.54,2.44,5.17,5.44
1878,Northeast,6.22571,5.34857,4.74429,6.19429,0.77857,2.82571,3.54143,8.31143,2.01857,5.39571,6.61,5.26429
1878,Southeast,5.16,4.04,3.28,5.32,1.63,2.54,2.07,1.38,1.05,4.42,7.91,5.69
